id	date	name	location	distance	category	race_type	created_at	race_website	verified	series
238	2020-12-31	Estonian Cup Marathon Series GC 2020	Estonia		B	GC	2025-04-22 16:59:51.512181	https://estoniancup.ee		Estonian Cup
262	2021-04-01	Lezyne 1. Tallinna Virtuaalarvestusega Rattamaraton	Tallinn		C	MTB	2025-04-23 05:50:21.85108	https://estoniancup.ee		Estonian Cup
186	2021-05-05	Filter Temposari I etapp	Maardu	13.8	C	TT	2025-02-05 21:59:16.848297	https://www.aerobike.ee		Filter Temposari
263	2021-05-08	Ramudden 7. Valgehobusemäe Rattamaraton	Valgehobusemäe		C	MTB	2025-04-23 05:50:21.85108	https://estoniancup.ee		Estonian Cup
187	2021-05-12	Filter Temposari II etapp	Kumna	14.94	C	TT	2025-02-05 21:59:16.848297	https://www.aerobike.ee		Filter Temposari
188	2021-05-19	Filter Temposari III etapp	Aruküla	19.7	C	TT	2025-02-05 21:59:16.848297	https://www.aerobike.ee		Filter Temposari
189	2021-05-26	Filter Temposari IV etapp	Kiili	25.12	C	TTP	2025-02-05 21:59:16.848297	https://www.aerobike.ee		Filter Temposari
190	2021-06-02	Filter Temposari V etapp	Viimsi	13.92	C	TT	2025-02-05 21:59:16.848297	https://www.aerobike.ee		Filter Temposari
191	2021-06-09	Filter Temposari VI etapp	Ääsmäe	24.91	C	TTP	2025-02-05 21:59:16.848297	https://www.aerobike.ee		Filter Temposari
264	2021-06-12	4. Kõlleste Rattamaraton	Kõlleste		C	MTB	2025-04-23 05:50:21.85108	https://estoniancup.ee		Estonian Cup
115	2021-06-13	7. Alutaguse Rattamaraton	Alutaguse		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
265	2021-07-03	Frank Kutter 19. Raplamaa Rattamaraton	Raplamaa		C	MTB	2025-04-23 05:50:21.85108	https://estoniancup.ee		Estonian Cup
146	2021-07-11	19. Rakvere Rattamaraton - XXL-sõit	Rakvere		C	MTB	2025-02-05 13:13:56.418474	https://www.rattamaratonid.ee/		Bosch
116	2021-07-11	19. Rakvere Rattamaraton	Rakvere		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
117	2021-07-17	21. Mulgi Rattamaraton	Mulgi		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
144	2021-07-24	23. Rõuge Rattamaraton - XXL-sõit	Rõuge		B	MTB	2025-02-05 13:09:42.628284	https://www.rattamaratonid.ee/		Bosch
118	2021-07-24	23. Rõuge Rattamaraton	Rõuge		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
266	2021-07-31	Rand&Tuulberg 21. Elva Rattamaraton	Elva		C	MTB	2025-04-23 05:50:21.85108	https://estoniancup.ee		Estonian Cup
119	2021-08-08	Škoda Laagri 21. Rakke Rattamaraton	Rakke		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
267	2021-08-14	E-Piim 18. Kullamaa Rattamaraton	Kullamaa		C	MTB	2025-04-23 05:50:21.85108	https://estoniancup.ee		Estonian Cup
120	2021-08-21	Kose 7 Järve Rattamaraton	Kose		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
268	2021-08-28	22. Jõulumäe Rattamaraton	Jõulumäe		C	MTB	2025-04-23 05:50:21.85108	https://estoniancup.ee		Estonian Cup
121	2021-09-04	24. Tallinna Rattamaraton	Tallinn		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
33	2021-09-19	24. Tartu Rattamaraton	Otepää	89	B	MTB	2025-01-29 12:53:02.712682	https://tartumaraton.ee/		
128	2021-12-31	Bosch MTB Marathon Series GC 2021	Estonia		B	GC	2025-02-03 15:01:15.826176	https://www.rattamaratonid.ee/		Bosch
239	2021-12-31	Estonian Cup Marathon Series GC 2021	Estonia		B	GC	2025-04-22 16:59:51.512181	https://estoniancup.ee		Estonian Cup
192	2022-04-20	Filter Temposari I etapp	Padise	20.35	C	TT	2025-04-17 04:14:19.429611	https://www.aerobike.ee		Filter Temposari
269	2022-04-20	Lezyne 2. Tallinna Virtuaalarvestusega Rattamaraton	Tallinn		C	MTB	2025-04-23 06:02:34.536471	https://estoniancup.ee		Estonian Cup
209	2022-04-27	Transtar Temposari I etapp	Tõravere	21	C	TT	2025-04-17 09:20:27.134366			Transtar Temposari
193	2022-05-04	Filter Temposari II etapp	Kiili	25.12	C	TTP	2025-04-17 04:14:19.429611	https://www.aerobike.ee		Filter Temposari
37	2022-05-07	22. Mulgi Rattamaraton	Viljandi	75	C	MTB	2025-01-30 09:59:37.341977	https://www.rattamaratonid.ee/		BOSCH
210	2022-05-11	Transtar Temposari II etapp	Rahinge	24	C	TT	2025-04-17 09:20:27.134366			Transtar Temposari
270	2022-05-14	5. Kõlleste Rattamaraton	Kõlleste	65	C	MTB	2025-04-23 06:02:34.536471	https://estoniancup.ee		Estonian Cup
194	2022-05-18	Filter Temposari III etapp	Aruküla	19.7	C	TT	2025-04-17 04:14:19.429611	https://www.aerobike.ee		Filter Temposari
38	2022-05-21	24. Rõuge Rattamaraton	Rõuge	47	C	MTB	2025-01-30 09:59:37.341977	https://www.rattamaratonid.ee/		BOSCH
5	2022-05-29	41. Tartu Rattaralli	Tartu	128	B	Road Race	2025-01-28 10:57:37.29409	https://tartumaraton.ee/		
195	2022-06-01	Filter Temposari IV etapp	Ääsmäe	24.91	C	TTP	2025-04-17 04:14:19.429611	https://www.aerobike.ee		Filter Temposari
271	2022-06-04	HEPA 20. Raplamaa Rattamaraton	Raplamaa	70	C	MTB	2025-04-23 06:02:34.536471	https://estoniancup.ee		Estonian Cup
211	2022-06-08	Transtar Temposari III etapp	Kavastu	40.2	C	TT	2025-04-17 09:20:27.134366			Transtar Temposari
39	2022-06-11	8. Alutaguse Rattamaraton	Alutaguse	73	C	MTB	2025-01-30 09:59:37.341977	https://www.rattamaratonid.ee/		BOSCH
196	2022-06-15	Filter Temposari V etapp	Maardu	13.8	C	TT	2025-04-17 04:14:19.429611	https://www.aerobike.ee		Filter Temposari
58	2022-06-22	Eesti Meistrivõistlused 2022 - Mehed - Kuremaa	Kuremaa, Estonia	34.8	A	TT	2025-01-31 13:15:38.700736	https://www.ejl.ee/		Estonian Championships
59	2022-06-22	Eesti Meistrivõistlused 2022 - Naised - Kuremaa	Kuremaa, Estonia	34.8	A	TT	2025-01-31 13:15:38.700736	https://www.ejl.ee/		Estonian Championships
66	2022-06-26	Eesti Meistrivõistlused 2022 - Mehed	Kuldīga, Latvia	164	A	Road Race	2025-01-31 14:03:25.106319	https://www.ejl.ee/		Estonian Championships
69	2022-06-26	Eesti Meistrivõistlused 2022 - Naised	Kuldīga, Latvia	95	A	Road Race	2025-01-31 14:03:25.107939	https://www.ejl.ee/		Estonian Championships
40	2022-07-10	20. Rakvere Rattamaraton	Rakvere	49	C	MTB	2025-01-30 09:59:37.341977	https://www.rattamaratonid.ee/		BOSCH
272	2022-07-30	Rand&Tuulberg 22. Elva Rattamaraton	Elva	62	C	MTB	2025-04-23 06:02:34.536471	https://estoniancup.ee		Estonian Cup
41	2022-07-31	22. Rakke Rattamaraton	Rakke	48	C	MTB	2025-01-30 09:59:37.341977	https://www.rattamaratonid.ee/		BOSCH
212	2022-08-03	Transtar Temposari IV etapp	Vorbuse	23.2	C	TT	2025-04-17 09:20:27.134366			Transtar Temposari
